subgenus Drosophila	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
subgenus Drosophila	GO:0005856	0.001177188561636	0.999983623042554	2	41	cytoskeleton	CC	0.064020965151938	CC cytoskeleton	group8809, group9097
subgenus Drosophila	GO:0005634	0.001225965341797	0.999837550714037	8	1383	nucleus	CC	0.064020965151938	CC nucleus	group7814, group8525, group8809, group9250, group2599, group9097, group8496, group2649
subgenus Drosophila	GO:0015031	0.00150829592662	0.999976676920484	2	27	protein transport	BP	0.064020965151938	BP protein transport	group8518, group9250
subgenus Drosophila	GO:0016787	0.00152053957638	0.999976567783157	2	24	hydrolase activity	MF	0.064020965151938	MF hydrolase activity	group2599, group1728
subgenus Drosophila	GO:0004003	0.001832175953176	1	1	1	NA	NA	0.064020965151938	none	group2599
subgenus Drosophila	GO:0008026	0.001832175953176	1	1	1	NA	NA	0.064020965151938	none	group2599
subgenus Drosophila	GO:0009628	0.001832175953176	1	1	1	response to abiotic stimulus	BP	0.064020965151938	BP response to abiotic stimulus	group2599
subgenus Drosophila	GO:0017111	0.001832175953176	1	1	1	nucleoside-triphosphatase activity	MF	0.064020965151938	MF nucleoside-triphosphatase activity	group2599
subgenus Drosophila	GO:0032392	0.001832175953176	1	1	1	DNA geometric change	BP	0.064020965151938	BP DNA geometric change	group2599
subgenus Drosophila	GO:0042623	0.001832175953176	1	1	1	NA	NA	0.064020965151938	none	group2599
subgenus Drosophila	GO:0043140	0.001832175953176	1	1	1	NA	NA	0.064020965151938	none	group2599
subgenus Drosophila	GO:0070035	0.001832175953176	1	1	1	NA	NA	0.064020965151938	none	group2599
subgenus Drosophila	GO:0071103	0.001832175953176	1	1	1	DNA conformation change	BP	0.064020965151938	BP DNA conformation change	group2599
subgenus Drosophila	GO:0090734	0.001832175953176	1	1	1	site of DNA damage	CC	0.064020965151938	CC site of DNA damage	group2599
subgenus Drosophila	GO:0140097	0.001832175953176	1	1	1	catalytic activity, acting on DNA	MF	0.064020965151938	MF catalytic activity, acting on DNA	group2599
subgenus Drosophila	GO:0000018	0.001919297993093	1	1	1	regulation of DNA recombination	BP	0.064020965151938	BP regulation of DNA recombination	group9097
subgenus Drosophila	GO:0008589	0.001919297993093	1	1	1	regulation of smoothened signaling pathway	BP	0.064020965151938	BP regulation of smoothened signaling pathway	group9097
subgenus Drosophila	GO:0010646	0.001919297993093	1	1	1	regulation of cell communication	BP	0.064020965151938	BP regulation of cell communication	group9097
subgenus Drosophila	GO:0010648	0.001919297993093	1	1	1	negative regulation of cell communication	BP	0.064020965151938	BP negative regulation of cell communication	group9097
subgenus Drosophila	GO:0010921	0.001919297993093	1	1	1	regulation of phosphatase activity	BP	0.064020965151938	BP regulation of phosphatase activity	group9097
subgenus Drosophila	GO:0023051	0.001919297993093	1	1	1	regulation of signaling	BP	0.064020965151938	BP regulation of signaling	group9097
subgenus Drosophila	GO:0023057	0.001919297993093	1	1	1	negative regulation of signaling	BP	0.064020965151938	BP negative regulation of signaling	group9097
subgenus Drosophila	GO:0048585	0.001919297993093	1	1	1	negative regulation of response to stimulus	BP	0.064020965151938	BP negative regulation of response to stimulus	group9097
subgenus Drosophila	GO:0051052	0.001919297993093	1	1	1	regulation of DNA metabolic process	BP	0.064020965151938	BP regulation of DNA metabolic process	group9097
subgenus Drosophila	GO:0051336	0.001919297993093	1	1	1	regulation of hydrolase activity	BP	0.064020965151938	BP regulation of hydrolase activity	group9097
subgenus Drosophila	GO:0080134	0.001919297993093	1	1	1	regulation of response to stress	BP	0.064020965151938	BP regulation of response to stress	group9097
subgenus Drosophila	GO:0080135	0.001919297993093	1	1	1	regulation of cellular response to stress	BP	0.064020965151938	BP regulation of cellular response to stress	group9097
